YEAR,POP,B,D,CBR,CDR,LE,LMF,LMHS,LMC,LMP,FPC,SOPC,IOPC,PPOLX,HSAPC,EHSPC,AIOPC,DIOPC,PLE,DTF,DCFS,CMPLE,MTF,FCE,TF,FPU
1919,2197209203.5790315,65791945.26657111,44242879.593960464,29.943414199887155,20.135943141824317,49.175373706991195,1.0541739130434782,1.6722637330167687,1.004623277793051,0.991675,292.3,695.0,295.0,0.8325,85.1,74.45274660335373,285.0045109298973,226.7634971940525,40.88210462851138,3.834986424630824,2.9701432273172355,1.2911789537148863,10.701044844838943,0.9579600351764421,4.123635279092867,0.21972092035790317
1920,2218045610.9235907,65347361.949567966,44510954.605009004,29.461685380922994,20.067646213314212,49.363335904096076,1.0556521739130436,1.6751505463659302,1.0054930230089476,0.9915,294.0,700.0,300.0,0.8500000000000001,86.0,75.03010927318604,290.00300728659823,230.07261265049056,41.53140912809259,3.804752171276278,2.961620537326431,1.284685908719074,10.723600308491529,0.9637441304409025,4.055601026838359,0.22180456109235908
1921,2238164075.9301243,64877906.00815287,44759441.00161907,28.98710899074334,19.99828407710377,49.5548103660043,1.0571304347826087,1.6781180190476337,1.0063768811314053,0.991325,295.7,705.0,305.0,0.8675,86.9,75.62360380952674,295.0020048577322,233.53281760403743,42.14836855174681,3.7754488537300093,2.9529923169248633,1.278516314482532,10.746577243920516,0.9694178736026132,3.9886407832912267,0.22381640759301244
1922,2257560538.0603104,64384993.21446627,44988531.08428017,28.519719462223442,19.92794005999688,49.74965890167017,1.0586086956521739,1.681162118095252,1.007274033246773,0.99115,297.4,710.0,310.0,0.885,87.8,76.23242361905041,300.00133657182147,237.13367968465468,42.73363812559137,3.7470683302091117,2.944272370971729,1.2726636187440863,10.769959068200421,0.9749835522973507,3.9227561090774916,0.22575605380603106
1923,2276266486.293483,63904393.309022315,45198445.07584992,28.07421437420531,19.85639438440619,49.94774785441795,1.0600869565217392,1.6842790121904894,1.0081836569504685,0.9909749999999999,299.1,715.0,315.0,0.9025000000000001,88.7,76.85580243809788,305.000891047881,240.86496928310078,43.2882386641453,3.7195896884814985,2.935473115729623,1.2671176133585471,10.793729742530154,0.9801483651453794,3.8600229337449186,0.22762664862934828
1924,2294670357.4116616,63793979.3857356,45390108.26755656,27.800934099176594,19.78066615143607,50.148954765117566,1.0615652173913044,1.687465061580965,1.009105065945174,0.9908,300.8,720.0,320.0,0.92,89.6,77.49301231619299,310.0005940319207,244.71676256649747,43.813467515525,3.6929824895161367,2.9266058879702492,1.26186532484475,10.817874571814109,0.9819358757677125,3.821687425232409,0.22946703574116617
1925,2312778172.822,63679267.86416948,45571452.45383085,27.53366864685923,19.704203796694255,50.353241642592536,1.0630434782608695,1.6907168085019166,1.010039182813676,0.990625,302.5,725.0,325.0,0.9375,90.5,78.14336170038334,315.00039602128044,248.67951965978617,44.31082256447636,3.6672094061175637,2.9176811249312045,1.2568917743552364,10.842388997111104,0.9836923681410875,3.7842195934090688,0.2312778172822
1926,2330595572.7060885,63560174.18880895,45742774.30472046,27.27207368501447,19.62707508776731,50.560513829248244,1.0645217391304347,1.6940309680768209,1.0109856963209045,0.9904499999999999,304.2,730.0,330.0,0.9550000000000001,91.4,78.80619361536417,320.00026401418694,252.74414153055574,44.78193800330624,3.6422283730881744,2.9087084682594297,1.2521806199669376,10.86726165950979,0.985420007957059,3.7475693009141855,0.23305955727060887
1927,2348127533.342589,63436319.67804657,45904359.041546136,27.01570454639837,19.549346613299452,50.770681071851214,1.066,1.6974044196729796,1.0119443023101187,0.990275,305.9,735.0,335.0,0.9725,92.3,79.48088393459595,325.00017600945796,256.90200885148084,45.22853078651767,3.6179943312975174,2.8996968250066666,1.2477146921348232,10.892481728622146,0.9871223841600882,3.7116723854325433,0.2348127533342589
1928,2365377918.133712,63306859.79215615,46056475.0010334,26.76395146281969,19.471085211352637,50.98365720107547,1.0674782608695652,1.7008341986893307,1.0129147014333841,0.9901,307.6,740.0,340.0,0.99,93.19999999999999,80.16683973786616,330.0001173396386,261.14500581486277,45.652356633916476,3.5944606315812226,2.8906544058893124,1.2434764336608353,10.918038864129056,0.9888058941697435,3.6764415413725255,0.2365377918133712
1929,2382345625.9369564,63170573.477441326,46202865.674196534,26.516124608324567,19.393855018843176,51.19548070488478,1.0689565217391304,1.7043174887548642,1.0138965952690355,0.98985,309.3,745.0,345.0,1.0075,94.1,80.86349775097284,335.0000782264257,265.4655315597679,46.05516136036938,3.5715805299769006,2.8815887528493738,1.2394483863963062,10.943457684586173,0.9904783638522445,3.641772861969041,0.23823456259369566
1930,2399026814.462257,63026068.67428493,46344880.148984626,26.271514888595462,19.31820014249105,51.40472082953809,1.0704347826086957,1.707851614317121,1.014889660162106,0.9895,311.0,750.0,350.0,1.025,95.0,81.5703228634242,340.00005215095047,269.8565015596088,46.43864086699782,3.549308397305886,2.8725067628022685,1.2356135913300217,10.968566499544572,0.9921480784659793,3.607563829765311,0.2399026814462257
1931,2415420802.5598154,62871941.01716291,46477952.91960435,26.02939452642474,19.242176299197197,51.61644745008444,1.0719130434782609,1.7114340336012648,1.0158935526458124,0.98915,312.7,755.0,355.0,1.0425,95.9,82.28680672025298,345.0000347673003,274.31134101725803,46.804430990191804,3.527600046642507,2.8634147112560986,1.231955690098082,10.993973694010133,0.9938231793871507,3.5737184972908023,0.24154208025598156
1932,2431525340.231949,62706766.84112425,46602229.16899059,25.789065737288393,19.165841456764376,51.8305850520784,1.073391304347826,1.7150623319212015,1.0169079456179186,0.9888,314.4,760.0,360.0,1.06,96.8,83.01246638424033,350.0000231782002,278.8239720326984,47.15409914075893,3.5064130014304484,2.8543182775371205,1.2284590085924108,11.019670206249408,0.9955112799458705,3.5401379097175525,0.2431525340231949
1933,2447336655.3776455,62529137.81655649,46717822.67085985,25.54987180826076,19.089250581118304,52.047060441209474,1.0748695652173912,1.7187342153251415,1.0179324993842107,0.9884499999999999,316.1,765.0,365.0,1.0775000000000001,97.7,83.74684306502832,355.0000154521335,283.38879604876894,47.489137789128655,3.4857067050252737,2.845222572203854,1.2251086221087135,11.045647252945137,0.9972192411366865,3.5067290767100254,0.24473366553776457
1934,2462849528.9178553,62337690.93566435,46824817.395454526,25.311205659833686,19.012455631436307,52.265802442087434,1.0763478260869566,1.7224475045588845,1.0189668590791767,0.9881,317.8,770.0,370.0,1.0950000000000002,98.6,84.4895009117769,360.0000103014223,288.00067284571054,47.81095973977668,3.4654426748599763,2.8361321665835977,1.2218904026022332,11.071896293050493,0.9989530618048749,3.4734061616823078,0.24628495289178554
1935,2478156606.396713,62230347.107137166,46923269.628279515,25.11154740846717,18.934747508353336,52.48674161941937,1.0778260869565217,1.7262001293309404,1.0200106524224575,0.98775,319.5,775.0,375.0,1.1125,99.5,85.24002586618806,365.0000068676149,292.65489714543617,48.12089506627829,3.445584605986523,2.827051124030033,1.2187910493372172,11.098408994330324,1.0,3.445584605986523,0.24781566063967128
1936,2493404547.7701306,62262995.28013922,47015053.906721584,24.971076328476844,18.8557664855338,52.709853556977826,1.0793043478260869,1.7299901228643932,1.0210643311543721,0.9873999999999999,321.2,780.0,380.0,1.1300000000000001,100.4,85.99802457287866,370.0000045784099,297.3471737012348,48.420189683547115,3.4260984254893114,2.8179830323568713,1.2157981031645289,11.12518242683734,1.0,3.4260984254893114,0.24934045477701308
1937,2508597552.658063,62296009.34476929,47103004.45683704,24.83300251918113,18.77662856161507,52.93514875584992,1.0807826086956522,1.7338156167211736,1.02212896536146,0.98705,322.9,785.0,385.0,1.1475,101.3,86.76312334423473,375.00000305227326,302.07359158678787,48.710005414128304,3.406952302542671,2.808931036871796,1.2128999458587169,11.152217850701991,1.0,3.406952302542671,0.2508597552658063
1938,2523739363.935849,62329087.93139355,47187276.65360732,24.697117627150458,18.69736523823019,53.16258386923223,1.0822608695652174,1.7376748358851148,1.0232045273620871,0.9867,324.6,790.0,390.0,1.165,102.2,87.53496717702299,380.0000020348488,306.8305982583236,48.99142107007562,3.3881166281725177,2.7998978734677675,1.2100857892992438,11.179510064307868,1.0,3.3881166281725177,0.25237393639358496
1939,2538833292.6011434,62361942.35329725,47268013.68800295,24.563228525101295,18.618006084036676,53.39211798900695,1.0837391304347825,1.7415660940908593,1.0242909913778826,0.98635,326.3,795.0,395.0,1.1825,103.1,88.31321881817185,385.00000135656586,311.6149738436333,49.26543438119099,3.3695639698439317,2.7908859012940317,1.20734565618809,11.207054158680833,1.0,3.3695639698439317,0.25388332926011437
1940,2559324127.108533,62382093.60200395,41891259.09461459,24.37444047873758,16.368094471075217,60.60532310253544,1.0852173913043477,1.9727438946931581,1.0253883329260114,0.986,328.0,800.0,400.0,1.2000000000000002,104.0,89.09755787726326,390.00000090437726,316.4238060095846,49.55652754307073,3.3506135091014846,2.7818971346078287,1.2044347245692926,12.036319386152126,1.0,3.3506135091014846,0.2559324127108533
1941,2579698164.7751594,62515567.39975467,42141529.73312841,24.233675184710375,16.33583738925572,60.731637966539935,1.086695652173913,1.9747191999585003,1.02546527506473,0.98565,329.7,805.0,405.0,1.2175,104.9,89.88767998340009,395.0000006029182,321.25446567375855,49.87814195639615,3.330898970423778,2.772933273488554,1.2012185804360385,12.043898277992398,1.0,3.330898970423778,0.25796981647751593
1942,2599932547.209577,62623005.75113371,42388623.31671617,24.086396325298878,16.3037396344034,60.85826721713423,1.0881739130434782,1.976708239960575,1.0255390118312742,0.9853,331.4,810.0,410.0,1.235,105.8,90.68329598423009,400.00000040194544,326.10458375403095,50.23602008041112,3.3102712948550668,2.7639957331725507,1.1976397991958887,12.051496033028053,1.0,3.3102712948550668,0.25999325472095774
1943,2620003764.478794,62703421.653854944,42632204.384638034,23.932569297788294,16.27181035486756,60.985177396701296,1.0896521739130436,1.9787103279625464,1.0256093355900144,0.98495,333.1,815.0,415.0,1.2525,106.7,91.48413118501858,405.0000002679636,330.97202909054346,50.63070596566188,3.288726316511163,2.7550856718354377,1.1936929403433811,12.059110643802079,1.0,3.288726316511163,0.26200037644787944
